emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,1987-06-26
10198,Pranav,Furedi,M,44076,1986-08-31
10215,Xiaobin,Duclos,M,43944,1992-11-22
10224,Leon,Trogemann,M,40000,1989-01-08
10233,Lein,Vendrig,F,40000,1995-04-29
10258,Basil,Ishibashi,F,66280,1986-05-17
10272,Yishai,Cannane,M,58070,1998-10-23
10282,Hercules,Benzmuller,M,40000,1997-05-02
10283,Kauko,Birjandi,M,40000,1989-05-25
10326,Masali,Czap,F,40000,1999-09-02
10340,Djelloul,Laventhal,M,68132,1989-03-30
10347,Pradeep,Kaminger,M,42199,1999-02-20
10355,Satyanarayana,Cochrane,M,70434,1997-01-25
10356,Vasilis,Standera,M,45376,1996-06-25
10364,Nakhoon,Dengi,M,51401,1986-11-14
10372,Anneli,Frijda,F,54505,1986-07-30
10387,Parto,Wrigley,F,61374,1995-01-07
10396,Sibyl,Rahier,M,40393,1987-01-11
10402,Volkmar,Ebeling,M,40000,1988-01-02
10404,Prodip,Rosti,F,51647,1989-08-28
10426,Arunas,Luce,F,65757,1986-07-06
10429,Martien,Improta,F,40000,1989-09-23
10432,Hisao,Tiemann,F,40000,1991-08-13
10451,Bodh,Ranta,F,46275,1989-03-12
10453,Tsvetan,Matzel,F,40000,1986-04-02
10463,Ung,Zaiane,M,66480,1995-02-17
10486,Amstein,Kossowski,F,71692,1988-10-07
10494,Yakkov,Servieres,F,50094,1992-12-17
10504,Xiong,Varker,M,43931,2000-10-18
10512,Udi,Gihr,M,40000,1990-11-28
10522,Marke,Cesareni,F,40000,1987-12-12
10548,Ramalingam,Gunderson,M,90631,1987-07-04
10564,Jianhao,Thisen,M,46660,1996-11-22
10004,Chirstian,Koblick,M,40054,1987-12-01
10623,Aleksander,Danlos,F,60268,1993-01-14
10009,Sumant,Peac,F,60929,1986-02-18
10628,Krisda,Krogh,M,41650,1988-03-13
10631,Inderjeet,Chaudhuri,M,40000,1995-10-18
10018,Kazuhide,Peha,F,55881,1988-04-02
10642,Hirochika,Narlikar,M,40000,1999-10-05
10653,Otmar,Feinberg,M,40000,1988-04-29
10035,Alain,Chappelet,M,41538,1989-09-05
10671,Parviz,Rebaine,M,74037,1996-09-13
10676,Valeri,Danley,F,58226,2000-09-03
10053,Sanjiv,Zschoche,F,67854,1995-11-13
10693,Berhard,Daescu,F,40000,1987-01-08
10702,Bader,Szemeredi,M,46581,1992-01-14
10058,Berhard,McFarlin,M,52787,1989-04-25
10066,Kwee,Schusler,M,69736,1987-02-26
10718,Adib,Rullman,M,75473,1989-07-21
10067,Claudi,Stavenow,M,44642,1988-03-03
10070,Reuven,Garigliano,M,55999,1986-10-14
10072,Hironoby,Sidou,F,40000,1990-05-21
10726,Zita,Minakawa,F,46315,1993-02-24
10734,Sachar,Erdi,M,47377,1996-12-18
10076,Erez,Ritzmann,F,47319,1997-07-15
10088,Jungsoon,Syrzycki,F,65957,1989-09-02
10745,Poorav,Ranze,F,40000,1989-01-22
10749,King,Brendel,M,60829,1986-09-26
10100,Hironobu,Haraldson,F,54398,1988-09-20
10103,Akemi,Birch,M,68158,1999-01-12
10767,Monique,Doering,F,40651,1998-07-15
10768,Ishfaq,Candan,M,65717,1986-07-04
10126,Kayoko,Valtorta,M,40000,1986-09-08
10778,Selwyn,Merey,M,64996,1987-07-04
10791,Tadahiko,Sgarro,M,40000,1989-07-30
10795,Supot,Naudin,M,84206,1994-05-03
10808,Chenxi,Leijenhorst,M,40000,1988-03-06
10129,Armond,Peir,M,40000,1997-01-15
10130,Nishit,Casperson,M,40000,1989-06-21
10134,Diederik,Siprelle,M,40000,1988-12-11
10138,Perry,Shimshoni,M,53574,1993-03-03
10835,Tomoyuki,Kermarrec,M,40000,1996-08-21
10836,Jianhua,Leivant,F,65502,1988-08-09
10844,Dipayan,Koprowski,M,40000,1998-04-25
10150,Zhenbing,Perng,F,70122,1987-11-16
10847,Theirry,Danley,M,40000,1987-07-25
10848,Fen,Bratsberg,F,50475,1986-04-20
10153,Heekeun,Majewski,M,54246,2001-01-07
10157,Nigel,Aloisi,M,48770,1998-12-10
10878,Lakshmi,Deville,M,72102,1998-04-25
10879,Muzhong,Chleq,F,65651,1986-08-15
10883,Shimshon,Champarnaud,M,40000,1997-12-28
11112,Boaz,Mukaidono,M,40000,1996-04-27
10909,Georgi,Atchley,M,80935,1994-12-26
10921,Mara,Bahi,F,72601,1987-07-27
10924,Hironoby,Atchley,F,84783,1989-08-14
10927,Gal,Scallan,M,51819,1987-09-12
10936,Mountaz,Schicker,F,40000,1991-05-09
10943,Berna,Skafidas,M,45890,1994-05-22
11113,Shahab,Peng,F,66401,1986-11-30
11121,Vugranam,Kakkad,F,40000,1993-10-31
11133,Nalini,Azulay,M,40000,1995-03-06
10965,Eckart,Braunschweig,M,61654,1987-07-29
10969,Premal,Noriega,M,40000,1995-05-12
10974,Muneo,Papsdorf,M,56005,2000-05-16
11134,Sachar,Rajcani,F,58731,1994-05-19
10986,Masako,Schiper,M,43900,1986-10-11
11137,Hugh,Luca,M,40000,1996-03-15
10988,Chinya,Deyuan,M,54174,1986-06-19
10989,Sumali,Candan,F,46406,1986-07-20
10990,Shin,Foote,M,40000,1991-08-06
11139,Bogdan,Homond,F,63596,1991-05-11
11146,Ishfaq,Masand,F,96019,1992-08-21
11009,Alper,Axelband,F,75111,1987-09-09
11012,Taegyun,Speckmann,F,72092,1997-07-06
11148,Zhanqiu,Botman,F,56344,1991-02-08
11019,Leon,Huttel,M,69387,1993-05-24
11021,Srinidhi,Henders,F,62670,1999-02-02
11162,Kauko,Narlikar,F,69873,1986-03-28
11027,Remzi,Cappello,M,40000,1987-05-07
11031,Ottavia,Walstra,M,71654,1986-10-24
11180,Mitsuyuki,Bojadziev,F,40000,1987-06-11
11037,Lansing,Maliniak,M,40000,1989-01-27
11038,Jinya,Beidas,M,44993,1986-07-15
11042,Gou,Breugel,F,40000,1994-06-21
11197,Tadahiro,Fordan,M,88741,1990-09-12
11048,Jaques,Demke,M,65697,2000-05-26
11050,Elvis,Katiyar,M,52251,1987-05-06
11051,Przemyslawa,Erol,F,40000,1992-03-26
11070,Adib,Raney,M,40000,1986-07-24
